Time, GyroX, GyroY, GyroZ, AccX, AccY, AccZ, Pressure, TempMS, Height, KalHeight
9589,14.45,48.19,42.49,0.23,0.95,0.09,1017.80,4.75,-6.39,-6.39
9656,-15.00,56.23,-3.63,0.21,0.92,0.08,1017.80,4.75,-6.39,-6.39
9723,-4.18,51.73,-2.13,0.18,0.92,0.05,1017.80,4.75,-6.39,-6.39
9790,-26.50,30.63,17.80,0.23,0.94,0.07,1017.80,4.75,-6.39,-6.39
9858,-15.43,14.54,-14.61,0.25,0.97,0.14,1017.80,4.75,-6.39,-6.39
9927,7.26,1.77,-5.80,0.16,0.93,0.04,1017.91,4.75,-7.27,-7.27
9991,18.86,-41.65,54.83,0.25,1.03,0.04,1017.80,4.75,-6.39,-6.38
10059,35.87,-72.36,18.41,0.31,1.06,0.05,1017.80,4.75,-6.39,-6.39
10128,7.12,-75.10,-68.81,0.26,1.05,0.07,1017.91,4.75,-7.27,-7.27
10196,10.51,-85.89,-76.17,0.21,1.03,0.13,1017.69,4.75,-5.51,-5.50
10266,40.69,-93.43,-37.16,0.20,0.93,0.04,1017.80,4.75,-6.39,-6.39
10336,26.54,-112.64,-29.92,0.26,0.95,-0.04,1017.80,4.75,-6.39,-6.39
10408,13.18,-146.91,-40.13,0.23,1.00,-0.09,1017.91,4.75,-7.27,-7.27
10480,20.51,-176.35,-8.49,0.25,1.02,-0.10,1017.80,4.75,-6.39,-6.38
10551,-17.69,-191.48,-23.69,0.21,0.99,-0.16,1017.91,4.75,-7.27,-7.27
10624,-33.09,-226.17,-5.78,0.28,1.07,-0.09,1017.80,4.75,-6.39,-6.38
10695,-54.62,-231.84,-16.81,0.33,0.98,-0.01,1017.80,4.75,-6.39,-6.39
10768,-98.61,-175.86,-79.10,0.26,1.00,0.11,1017.80,4.75,-6.39,-6.39
10840,-85.12,-116.46,-40.49,0.06,0.90,0.10,1017.69,4.75,-5.51,-5.50
10912,-76.38,-128.35,23.97,0.14,0.77,0.18,1017.80,4.75,-6.39,-6.39
10983,-128.83,-129.19,15.00,0.12,0.83,0.31,1017.91,4.75,-7.27,-7.27
11055,-112.83,-221.88,8.58,-0.07,0.95,0.47,1017.80,4.75,-6.39,-6.38
11127,-6.07,32.45,-26.00,0.45,0.78,0.46,1017.80,4.75,-6.39,-6.39
11195,29.46,6.09,-36.01,0.12,0.81,0.23,1017.80,4.75,-6.39,-6.39
11263,-37.41,34.45,17.36,0.15,0.88,0.32,1017.80,4.75,-6.39,-6.39
11332,-55.52,33.36,27.47,0.18,0.93,0.31,1017.80,4.75,-6.39,-6.39
11401,-8.62,3.54,-31.75,0.22,0.98,0.33,1017.80,4.75,-6.39,-6.39
11468,-47.63,-12.94,48.54,0.14,0.89,0.18,1017.85,4.77,-6.79,-6.79
11538,-99.28,70.08,-43.54,0.16,0.87,0.30,1017.80,4.75,-6.39,-6.39
11608,-50.82,122.48,-151.23,0.09,0.88,0.39,1017.80,4.75,-6.39,-6.39
11680,-50.56,31.07,-71.77,0.02,0.98,0.40,1017.85,4.77,-6.79,-6.79
11750,-48.57,-15.25,-35.42,-0.06,0.70,0.47,1017.80,4.75,-6.39,-6.39
11821,19.61,-37.42,-33.07,-0.10,0.56,0.54,1017.80,4.75,-6.39,-6.39
11892,54.80,-70.82,35.33,-0.10,0.62,0.50,1017.69,4.75,-5.51,-5.51
11962,52.62,-54.85,42.41,0.05,0.68,0.46,1017.74,4.77,-5.91,-5.91
12031,35.72,-12.62,-29.95,-0.00,0.77,0.34,1017.74,4.77,-5.91,-5.91
12102,43.67,0.03,-35.43,-0.02,0.87,0.36,1017.85,4.77,-6.79,-6.79
12170,52.71,-33.65,-15.33,0.01,0.94,0.34,1017.74,4.77,-5.91,-5.90
